,country_agg,GID_0,gender,age_bucket,date,rolling_total_responses,weight_sums,smoothed_pct_cli,smoothed_pct_ili,smoothed_pct_fever,smoothed_pct_cough,smoothed_pct_difficulty_breathing,smoothed_pct_fatigue,smoothed_pct_stuffy_runny_nose,smoothed_pct_aches_muscle_pain,smoothed_pct_sore_throat,smoothed_pct_chest_pain,smoothed_pct_nausea,smoothed_pct_anosmia_ageusia,smoothed_pct_eye_pain,smoothed_pct_headache,smoothed_pct_chills,smoothed_pct_cmnty_sick,smoothed_pct_ever_tested,smoothed_pct_tested_recently,smoothed_pct_worked_outside_home,smoothed_pct_grocery_outside_home,smoothed_pct_ate_outside_home,smoothed_pct_spent_time_with_non_hh,smoothed_pct_attended_public_event,smoothed_pct_used_public_transit,smoothed_pct_direct_contact_with_non_hh,smoothed_pct_wear_mask_all_time,smoothed_pct_wear_mask_most_time,smoothed_pct_wear_mask_half_time,smoothed_pct_wear_mask_some_time,smoothed_pct_wear_mask_none_time,smoothed_pct_no_public,smoothed_pct_feel_nervous_all_time,smoothed_pct_feel_nervous_most_time,smoothed_pct_feel_nervous_some_time,smoothed_pct_feel_nervous_little_time,smoothed_pct_feel_nervous_none_time,smoothed_pct_feel_depressed_all_time,smoothed_pct_feel_depressed_most_time,smoothed_pct_feel_depressed_some_time,smoothed_pct_feel_depressed_little_time,smoothed_pct_feel_depressed_none_time,smoothed_pct_worried_ill_covid19_very,smoothed_pct_worried_ill_covid19_somewhat,smoothed_pct_worried_ill_covid19_notTooWorried,smoothed_pct_worried_ill_covid19_notWorried,smoothed_pct_enough_toEat_very_worried,smoothed_pct_enough_toEat_somewhat_worried,smoothed_pct_enough_toEat_notToo_worried,smoothed_pct_enough_toEat_not_worried,smoothed_pct_finances_very_worried,smoothed_pct_finances_somewhat_worried,smoothed_pct_finances_notToo_worried,smoothed_pct_finances_not_worried,smoothed_pct_cli_weighted,smoothed_pct_ili_weighted,smoothed_pct_fever_weighted,smoothed_pct_cough_weighted,smoothed_pct_difficulty_breathing_weighted,smoothed_pct_fatigue_weighted,smoothed_pct_stuffy_runny_nose_weighted,smoothed_pct_aches_muscle_pain_weighted,smoothed_pct_sore_throat_weighted,smoothed_pct_chest_pain_weighted,smoothed_pct_nausea_weighted,smoothed_pct_anosmia_ageusia_weighted,smoothed_pct_eye_pain_weighted,smoothed_pct_headache_weighted,smoothed_pct_chills_weighted,smoothed_pct_cmnty_sick_weighted,smoothed_pct_ever_tested_weighted,smoothed_pct_tested_recently_weighted,smoothed_pct_worked_outside_home_weighted,smoothed_pct_grocery_outside_home_weighted,smoothed_pct_ate_outside_home_weighted,smoothed_pct_spent_time_with_non_hh_weighted,smoothed_pct_attended_public_event_weighted,smoothed_pct_used_public_transit_weighted,smoothed_pct_direct_contact_with_non_hh_weighted,smoothed_pct_wear_mask_all_time_weighted,smoothed_pct_wear_mask_most_time_weighted,smoothed_pct_wear_mask_half_time_weighted,smoothed_pct_wear_mask_some_time_weighted,smoothed_pct_wear_mask_none_time_weighted,smoothed_pct_no_public_weighted,smoothed_pct_feel_nervous_all_time_weighted,smoothed_pct_feel_nervous_most_time_weighted,smoothed_pct_feel_nervous_some_time_weighted,smoothed_pct_feel_nervous_little_time_weighted,smoothed_pct_feel_nervous_none_time_weighted,smoothed_pct_feel_depressed_all_time_weighted,smoothed_pct_feel_depressed_most_time_weighted,smoothed_pct_feel_depressed_some_time_weighted,smoothed_pct_feel_depressed_little_time_weighted,smoothed_pct_feel_depressed_none_time_weighted,smoothed_pct_worried_ill_covid19_very_weighted,smoothed_pct_worried_ill_covid19_somewhat_weighted,smoothed_pct_worried_ill_covid19_notTooWorried_weighted,smoothed_pct_worried_ill_covid19_notWorried_weighted,smoothed_pct_enough_toEat_very_worried_weighted,smoothed_pct_enough_toEat_somewhat_worried_weighted,smoothed_pct_enough_toEat_notToo_worried_weighted,smoothed_pct_enough_toEat_not_worried_weighted,smoothed_pct_finances_very_worried_weighted,smoothed_pct_finances_somewhat_worried_weighted,smoothed_pct_finances_notToo_worried_weighted,smoothed_pct_finances_not_worried_weighted
1356,Canada,CAN,female,18-34,2020-11-02,2016.0,3840106.94,0.84,0.84,0.99,10.58,2.98,29.29,26.11,18.26,10.18,3.62,9.04,1.34,6.01,27.27,4.67,9.28,30.44,17.67,35.53,57.44,31.28,50.63,7.97,10.08,50.0,74.26,17.31,3.27,2.08,0.89,2.13,2.21,8.27,19.79,25.15,44.58,4.27,10.62,21.49,25.11,38.51,24.36,41.77,23.81,9.03,3.22,10.22,19.64,66.87,14.38,26.34,29.02,30.26,0.72,0.72,0.8,9.6,3.1,28.8,25.54,16.81,10.74,4.08,8.78,1.1,6.29,26.48,4.46,9.1,30.88,4.93,34.55,56.99,29.33,48.1,7.26,10.19,48.3,76.58,16.39,2.51,1.68,0.62,2.17,2.52,8.09,19.42,24.74,44.09,4.64,10.56,21.77,25.12,37.81,24.51,41.98,23.26,8.95,3.35,11.87,20.73,64.04,15.78,26.44,29.07,28.7
1357,Canada,CAN,female,35-54,2020-11-02,2142.0,3812899.28,0.7,0.65,0.94,10.09,2.24,20.06,22.61,16.45,6.97,2.34,4.11,1.03,3.97,20.44,3.83,7.48,27.99,15.4,36.22,61.39,27.58,45.72,6.24,5.39,40.85,75.91,15.17,3.87,1.68,1.03,2.33,0.8,3.43,13.12,20.6,62.04,1.35,4.3,14.21,26.87,53.27,24.28,45.56,21.06,8.73,3.13,6.91,17.13,72.78,11.16,22.6,27.45,38.8,0.77,0.73,0.94,9.71,2.19,18.7,19.7,14.99,6.25,2.24,3.79,1.05,3.81,18.22,3.97,7.08,28.73,4.22,34.87,61.55,25.75,41.57,5.09,5.94,38.46,79.37,12.56,3.45,1.26,1.07,2.29,1.21,3.51,12.79,20.14,61.7,2.06,4.18,13.96,26.89,52.8,25.26,45.61,19.8,9.11,3.12,7.7,16.61,72.54,11.15,23.25,27.87,37.73
1358,Canada,CAN,female,55+,2020-11-02,2050.0,5551494.24,0.25,0.25,0.64,10.41,2.4,15.54,18.17,16.92,3.57,1.71,3.08,1.03,3.33,12.28,3.13,4.29,17.85,15.19,17.41,60.48,24.09,42.08,3.62,3.48,35.95,81.61,11.02,2.0,1.32,0.78,3.22,0.44,1.72,8.54,15.36,73.95,0.68,2.74,10.7,20.32,65.56,20.2,43.8,24.98,10.0,1.56,4.54,11.9,81.9,5.32,14.75,24.85,55.08,0.13,0.11,0.37,9.84,1.97,14.89,16.39,16.45,3.25,1.36,3.11,1.01,3.15,10.81,2.97,4.18,19.38,2.81,17.48,61.81,23.11,39.66,2.52,3.13,32.61,83.49,8.79,1.9,1.18,0.63,3.84,0.79,1.53,8.62,16.8,71.38,0.52,2.83,11.09,20.29,65.16,21.08,44.43,24.56,8.78,1.61,4.48,11.61,82.22,4.34,13.98,25.0,56.65
1359,Canada,CAN,female,overall,2020-11-02,6212.0,13204500.46,0.6,0.58,0.86,10.35,2.53,21.55,22.27,17.18,6.88,2.55,5.37,1.13,4.44,19.95,3.87,7.01,25.43,16.25,29.79,59.79,27.62,46.1,5.94,6.28,42.21,77.25,14.5,3.06,1.69,0.9,2.56,1.14,4.43,13.76,20.33,60.35,2.08,5.83,15.4,24.14,52.55,22.96,43.75,23.25,9.24,2.64,7.21,16.21,73.87,10.29,21.22,27.1,41.38,0.5,0.48,0.67,9.73,2.38,20.03,20.05,16.09,6.36,2.42,4.93,1.05,4.3,17.63,3.72,6.48,25.63,3.84,27.94,60.19,25.71,42.59,4.69,6.01,38.98,80.19,12.18,2.57,1.36,0.77,2.85,1.42,4.02,13.03,20.17,60.49,2.19,5.46,15.03,23.77,53.43,23.45,44.13,22.58,8.93,2.61,7.64,15.8,73.91,9.81,20.51,27.13,42.55
1360,Canada,CAN,male,18-34,2020-11-02,959.0,3426038.11,0.42,0.52,0.94,11.9,2.82,20.45,23.38,14.93,7.4,2.72,5.43,1.36,6.26,15.14,3.65,10.22,26.39,15.57,46.12,61.86,39.32,52.63,12.47,12.69,51.46,59.23,25.23,5.94,4.69,3.34,1.56,1.69,4.33,13.94,20.71,59.33,4.07,8.03,18.98,22.11,46.82,18.46,37.33,26.59,16.48,3.75,8.76,19.5,67.99,12.2,18.87,27.74,41.19,0.4,0.56,1.06,10.41,3.08,22.33,22.09,15.77,7.16,3.45,5.08,1.29,6.39,15.55,3.27,10.16,26.77,4.58,46.01,61.6,38.02,51.56,11.9,13.03,50.48,60.56,23.48,5.28,5.25,3.19,2.23,1.86,4.95,13.86,20.4,57.76,5.2,7.85,18.33,20.72,47.91,20.88,36.93,24.89,16.07,3.84,10.06,21.36,64.74,12.68,20.76,28.35,38.21
1361,Canada,CAN,male,35-54,2020-11-02,1279.0,3989511.54,0.47,0.47,0.94,10.1,3.68,15.81,18.84,14.64,5.32,3.21,2.98,1.57,3.13,13.32,2.58,6.58,22.87,17.91,45.34,66.97,36.24,48.39,9.03,7.45,41.91,65.21,21.27,6.1,2.89,3.05,1.41,1.81,1.81,9.22,14.86,72.3,1.8,5.95,11.19,20.81,60.24,17.04,40.97,26.27,15.64,3.67,5.0,17.36,73.89,10.01,20.88,24.08,45.04,0.64,0.64,1.14,9.74,3.3,15.14,18.71,13.28,5.33,3.07,3.27,1.46,3.36,12.17,2.32,5.89,23.39,4.09,46.59,66.59,34.92,45.73,7.81,7.91,40.73,68.53,19.33,4.83,2.84,2.99,1.38,1.94,1.92,10.25,13.55,71.56,1.85,5.99,11.98,19.4,60.7,17.25,39.8,26.14,16.74,4.09,4.92,17.83,73.08,9.82,21.86,23.02,45.3
1362,Canada,CAN,male,55+,2020-11-02,1529.0,5532453.05,0.26,0.33,0.46,9.92,4.08,13.97,18.71,16.21,3.09,2.37,2.24,1.05,3.61,8.36,3.03,4.71,18.9,16.99,23.62,67.25,31.5,42.68,6.43,4.46,36.27,68.28,17.0,7.33,3.34,1.77,2.29,0.46,1.18,5.2,11.58,81.58,0.65,1.57,6.94,16.56,74.28,15.17,40.35,29.37,14.72,1.05,3.4,13.02,82.54,3.4,13.41,20.29,62.9,0.13,0.28,0.34,8.26,4.04,12.39,17.12,14.31,3.06,2.02,1.76,0.99,3.23,8.32,2.25,4.11,20.52,3.87,23.57,66.97,29.82,41.28,5.93,4.7,34.84,70.6,16.03,7.47,2.25,1.29,2.35,0.4,1.11,5.17,12.67,80.08,0.59,1.35,7.54,17.77,72.62,15.74,40.65,28.2,15.02,1.04,4.12,13.24,81.6,3.35,12.59,20.98,63.05
1363,Canada,CAN,male,overall,2020-11-02,3768.0,12948002.69,0.37,0.43,0.75,10.48,3.62,16.24,19.94,15.35,4.95,2.74,3.3,1.3,4.12,11.77,3.03,6.75,22.16,17.2,36.73,65.79,35.08,47.16,8.85,7.57,42.05,64.94,20.54,6.56,3.53,2.6,1.8,1.23,2.19,8.77,15.0,72.8,1.91,4.7,11.47,19.41,62.51,16.64,39.81,27.6,15.47,2.63,5.31,16.14,75.9,7.88,17.33,23.47,51.32,0.36,0.46,0.79,9.3,3.55,16.01,18.99,14.34,4.9,2.74,3.15,1.23,4.11,11.57,2.54,6.29,23.25,4.18,37.36,65.31,33.71,45.45,8.16,8.05,40.94,67.26,19.11,5.98,3.24,2.35,2.02,1.31,2.42,9.25,15.02,71.19,2.29,4.69,11.96,19.08,61.92,17.65,39.33,26.62,15.88,2.83,6.03,16.98,74.13,8.06,17.93,23.6,50.4
1364,Canada,CAN,other,18-34,2020-11-02,90.0,297378.87,5.56,5.56,5.56,21.27,13.33,44.44,42.22,40.0,14.44,8.89,21.11,5.56,15.56,41.11,10.0,12.22,30.56,,37.13,53.7,36.67,48.89,17.78,20.0,45.56,66.67,17.78,1.11,6.67,4.44,3.33,8.89,8.89,28.89,23.33,30.0,11.11,18.89,24.44,27.78,17.78,25.56,45.56,17.78,10.0,11.11,8.89,28.89,50.0,32.22,12.22,30.0,25.56,7.7,7.7,7.7,18.98,14.8,37.2,39.36,37.45,16.06,9.01,18.73,7.7,14.39,33.59,10.48,15.48,26.43,5.2,39.99,61.83,38.06,47.52,19.4,21.05,45.8,70.69,13.94,0.67,6.32,6.6,1.77,11.22,4.76,29.64,26.8,27.59,14.29,19.11,19.62,31.41,15.58,29.17,41.91,15.6,10.94,10.09,10.84,25.58,52.2,29.66,7.3,40.41,22.62
1365,Canada,CAN,other,overall,2020-11-02,160.0,451816.92,6.25,6.25,6.88,22.0,13.12,41.88,36.25,35.62,13.75,11.25,19.38,6.88,14.37,35.62,11.88,12.5,27.12,8.3,34.57,57.16,35.0,48.75,17.5,18.75,45.0,68.12,15.62,0.62,5.0,7.5,3.12,8.12,7.5,21.25,21.25,41.88,8.75,13.75,20.0,26.88,30.63,22.5,44.38,17.5,15.0,7.5,8.12,25.0,58.75,23.12,18.75,25.0,33.12,8.88,8.88,9.1,22.2,14.9,36.33,31.73,33.73,15.61,12.44,17.83,8.43,14.91,30.68,11.91,15.07,24.63,3.21,36.1,61.5,37.04,47.22,18.61,19.32,46.37,71.52,11.09,0.37,4.78,10.32,1.92,7.44,4.27,19.54,21.72,47.03,8.94,12.54,15.6,27.06,35.85,24.5,38.83,16.35,18.95,6.21,7.9,21.21,63.98,21.56,14.44,29.75,34.25
1366,Canada,CAN,overall,18-34,2020-11-02,3122.0,7629405.79,0.83,0.87,1.09,11.32,3.24,26.96,25.87,17.7,9.36,3.5,8.14,1.47,6.38,23.99,4.46,9.77,29.41,16.91,38.92,58.65,34.03,51.13,9.59,11.05,50.31,69.41,19.73,4.04,3.04,1.76,1.99,2.21,7.01,18.22,23.74,48.83,4.39,9.9,20.93,24.36,40.42,22.49,40.36,24.63,11.31,3.59,9.74,19.96,66.62,14.23,23.68,28.58,33.52,0.78,0.85,1.11,10.26,3.43,26.15,24.6,16.78,9.21,3.89,7.28,1.39,6.63,22.02,4.07,9.9,29.12,4.87,40.06,59.15,33.81,49.55,9.7,11.58,49.15,69.09,19.56,3.77,3.44,1.96,2.15,2.42,6.52,17.11,22.78,49.78,5.25,9.45,20.36,23.3,41.53,22.76,39.57,24.0,12.15,3.72,10.94,21.12,64.1,14.67,23.47,28.95,32.85
1367,Canada,CAN,overall,35-54,2020-11-02,3503.0,8029345.91,0.66,0.63,1.0,10.4,2.92,18.86,21.3,15.98,6.49,2.86,3.89,1.29,3.8,18.02,3.49,7.09,26.21,16.02,39.56,63.47,30.98,46.99,7.46,6.28,41.54,71.8,17.47,4.65,2.17,1.88,2.0,1.21,2.93,11.76,18.49,65.61,1.51,4.97,13.26,24.66,55.6,21.52,43.82,22.89,11.45,3.34,6.17,17.36,73.08,10.79,22.07,26.12,41.02,0.78,0.76,1.12,10.1,2.85,17.24,19.2,14.33,6.04,2.87,3.68,1.3,3.71,15.4,3.25,6.4,26.32,4.07,40.63,63.97,30.6,44.0,6.59,7.01,39.98,73.93,15.89,4.06,2.12,2.12,1.83,1.55,2.86,11.57,16.79,66.51,1.92,5.07,13.22,23.26,56.45,21.26,42.62,22.74,13.16,3.65,6.25,17.34,72.72,10.52,22.65,25.33,41.51
1368,Canada,CAN,overall,55+,2020-11-02,3635.0,11149238.69,0.33,0.36,0.64,10.32,3.15,14.97,18.37,16.75,3.42,2.04,2.79,1.11,3.48,10.66,3.15,4.57,18.32,16.24,20.2,63.28,27.31,42.24,4.94,3.98,36.08,75.79,13.65,4.24,2.15,1.35,2.81,0.55,1.47,7.08,13.78,77.11,0.74,2.23,8.98,18.67,69.37,18.05,42.23,26.74,12.08,1.35,4.07,12.24,82.28,4.49,14.21,22.72,58.59,0.21,0.28,0.43,9.17,3.02,13.75,16.67,15.52,3.22,1.74,2.5,1.08,3.23,9.68,2.71,4.29,20.07,3.36,20.45,64.21,26.41,40.27,4.41,3.97,33.63,77.18,12.32,4.51,1.67,1.13,3.12,0.64,1.3,6.9,14.85,75.55,0.58,2.09,9.24,19.02,68.93,18.58,42.4,26.21,11.94,1.35,4.3,12.2,82.11,3.89,13.29,22.85,59.95
1369,Canada,CAN,overall,overall,2020-11-02,11472.0,31173651.61,0.64,0.64,0.95,10.75,3.21,19.99,21.7,16.74,6.33,2.92,4.93,1.34,4.57,17.2,3.77,7.22,24.87,16.83,32.52,61.88,30.8,46.47,7.26,7.12,41.93,68.41,15.68,4.11,2.25,1.64,2.14,1.36,3.6,12.08,18.39,64.57,2.2,5.51,14.12,22.34,55.82,19.28,39.05,22.73,10.89,2.61,6.1,15.33,68.66,9.79,20.02,25.49,44.71,0.9,0.9,1.19,10.15,3.59,18.91,20.02,15.87,6.16,3.16,4.46,1.57,4.85,15.32,3.66,6.75,24.93,4.26,31.6,60.29,29.0,42.48,6.52,7.15,37.79,68.82,14.18,3.89,2.19,1.61,2.25,1.39,2.98,10.37,16.43,59.89,2.24,4.73,12.5,19.84,52.5,18.94,37.92,22.0,11.44,2.62,6.3,15.21,66.97,8.45,17.86,22.98,41.85
1370,Chile,CHL,female,18-34,2020-11-02,1011.0,2201020.45,0.5,0.6,0.89,13.11,3.97,17.57,34.96,16.88,14.2,4.88,10.65,2.59,15.79,34.66,4.47,8.31,27.33,20.9,25.11,60.18,14.3,51.64,9.29,30.6,54.26,88.53,5.44,0.49,0.3,0.3,4.95,2.0,8.3,17.25,27.32,45.13,3.76,11.87,22.16,26.31,35.91,45.9,35.91,10.58,6.82,14.14,21.56,30.66,33.63,30.27,32.25,22.75,14.74,0.56,0.59,0.99,13.82,4.28,18.08,35.69,17.55,14.43,5.47,11.92,2.5,15.97,33.66,5.27,8.03,28.79,5.67,24.47,59.46,15.53,51.35,9.76,32.61,55.31,88.18,5.95,0.59,0.31,0.26,4.72,2.19,8.95,16.89,27.41,43.37,4.4,12.76,22.0,25.97,34.87,47.66,33.88,10.72,7.02,15.38,22.74,29.94,31.93,31.15,33.16,20.89,14.8
1371,Chile,CHL,female,35-54,2020-11-02,1055.0,2243908.85,1.15,1.15,1.25,11.38,2.69,14.66,22.74,16.89,9.79,4.41,4.99,2.5,10.24,26.9,4.42,10.05,30.54,28.55,32.6,65.29,12.46,51.09,7.78,24.64,55.55,90.52,3.51,0.28,0.57,0.19,4.93,0.86,5.73,13.38,25.81,54.22,1.14,6.64,16.49,27.3,48.44,45.5,34.79,11.66,7.3,15.45,25.5,27.01,31.75,27.89,33.78,23.34,14.99,1.1,1.1,1.2,10.82,2.42,15.1,21.74,16.34,8.92,4.05,5.58,2.5,9.25,25.75,4.29,9.08,30.08,8.27,32.93,64.24,12.69,50.81,8.56,26.42,54.71,90.5,3.27,0.26,0.67,0.15,5.15,1.04,5.69,12.31,25.73,54.37,1.38,6.67,16.09,27.34,48.54,46.38,34.48,11.3,7.21,16.02,27.13,26.15,30.46,28.42,34.95,22.72,13.85
1372,Chile,CHL,female,55+,2020-11-02,525.0,1430570.83,0.39,0.2,0.39,8.85,1.54,10.19,15.38,14.58,5.76,3.26,2.7,0.78,8.25,19.03,4.05,6.51,23.41,26.93,18.31,59.92,11.27,44.15,6.71,22.19,49.14,85.9,4.38,0.38,0.38,0.0,8.95,0.39,4.24,15.23,21.8,58.33,0.96,5.91,13.74,23.28,56.11,40.95,32.76,13.71,11.43,7.81,19.05,25.33,47.24,16.6,28.08,23.83,31.49,0.29,0.02,0.29,6.92,1.23,8.7,15.39,13.52,4.98,2.81,2.0,0.34,8.03,17.21,3.47,5.32,21.84,5.94,17.09,58.97,10.98,44.48,6.48,23.16,49.77,86.13,4.57,0.49,0.36,0.0,8.45,0.76,4.27,14.62,20.83,58.57,0.72,6.46,13.13,23.63,55.95,40.28,32.18,13.84,12.77,8.32,17.94,21.89,51.35,16.52,28.88,21.0,33.46
1373,Chile,CHL,female,overall,2020-11-02,2593.0,5875500.12,0.78,0.78,0.97,11.57,2.96,14.89,26.05,16.44,10.73,4.36,6.73,2.22,11.99,28.36,4.4,8.68,27.88,25.32,26.78,62.24,12.97,49.92,8.19,26.47,53.74,88.82,4.44,0.39,0.42,0.19,5.75,1.21,6.43,15.26,25.56,51.55,2.12,8.53,18.13,26.12,45.1,44.7,34.82,11.69,7.94,13.38,22.64,28.15,35.6,26.51,32.08,23.19,18.22,0.76,0.68,0.94,10.9,2.76,14.44,25.05,16.07,9.96,4.18,6.91,2.01,11.28,26.32,4.47,7.74,27.48,6.69,25.71,61.15,13.31,49.31,8.53,27.78,53.61,88.55,4.54,0.42,0.46,0.15,5.87,1.35,6.5,14.47,24.96,51.71,2.29,8.78,17.36,25.85,45.68,45.17,33.82,11.72,8.58,13.89,23.25,26.39,36.26,26.33,32.75,21.64,19.22
1374,Chile,CHL,male,18-34,2020-11-02,600.0,2074626.21,1.67,1.51,2.17,15.86,5.01,18.5,31.55,15.19,10.52,5.34,4.67,2.67,13.36,25.72,4.0,11.83,31.05,29.7,38.82,60.98,20.4,54.85,12.25,27.28,62.17,89.0,7.0,0.83,0.67,0.33,2.0,1.18,5.52,16.43,24.12,52.75,2.0,9.01,17.52,28.89,42.58,44.83,38.33,10.0,6.33,13.33,18.5,31.33,36.33,25.33,27.5,27.0,20.17,1.3,1.17,1.59,16.36,4.87,18.76,31.93,16.14,11.0,5.7,4.64,2.55,14.55,26.61,4.5,11.55,30.36,7.58,40.38,61.64,21.03,53.14,13.29,30.14,62.19,88.35,7.8,1.12,0.8,0.23,1.64,1.15,6.75,15.72,24.04,51.83,2.39,8.12,16.6,29.59,43.16,47.16,35.99,10.27,6.23,12.84,19.94,31.42,35.15,25.0,28.21,27.45,19.34
1375,Chile,CHL,male,35-54,2020-11-02,770.0,2130557.19,0.65,0.52,1.04,9.35,2.34,9.24,19.61,12.21,6.23,3.12,2.6,1.95,6.75,16.88,2.08,8.58,32.94,28.49,53.93,67.43,19.9,55.1,10.99,24.43,60.6,87.92,6.23,0.52,0.52,0.91,3.77,0.66,2.5,10.38,17.34,69.12,0.78,3.64,8.44,21.56,65.58,42.86,34.42,13.38,8.44,15.32,21.3,25.58,37.66,24.94,28.57,22.99,23.51,0.63,0.43,0.95,8.84,2.63,8.83,20.52,12.86,6.2,3.13,2.78,1.81,6.5,16.9,1.95,7.11,34.12,9.58,53.97,66.97,19.45,54.26,11.78,26.09,61.2,87.55,6.17,0.55,0.67,0.89,3.99,0.65,2.65,9.44,16.08,70.11,0.67,3.81,8.05,21.36,66.11,43.05,34.96,12.48,8.57,17.15,22.03,24.73,36.03,26.62,30.33,19.83,23.22
1376,Chile,CHL,male,55+,2020-11-02,489.0,1534725.58,0.0,0.2,0.41,6.98,3.69,7.18,13.53,14.72,4.52,2.46,0.82,0.82,5.74,11.9,1.85,7.84,28.8,27.19,34.12,71.07,14.58,36.67,6.64,20.94,49.28,86.5,7.16,0.61,1.23,0.0,4.5,0.41,2.26,7.8,16.82,72.7,0.82,1.64,7.98,18.61,70.96,44.58,32.92,12.27,9.61,12.07,22.49,25.77,39.67,21.27,27.61,21.27,29.86,0.0,0.21,0.34,7.26,3.95,7.17,14.98,14.78,4.4,1.93,1.04,0.62,6.05,12.67,1.72,8.04,28.09,6.77,35.84,70.43,15.75,38.28,6.29,20.49,50.62,85.85,7.67,0.46,0.95,0.0,5.08,0.53,2.58,7.48,15.65,73.31,1.12,1.49,8.16,17.28,71.95,46.66,31.7,11.71,9.37,14.22,22.46,24.95,38.37,23.1,28.08,19.57,29.25
1377,Chile,CHL,male,overall,2020-11-02,1859.0,5739908.98,0.81,0.75,1.24,10.83,3.55,11.69,21.86,13.83,7.17,3.66,2.8,1.89,8.62,18.43,2.64,9.43,31.24,28.31,43.84,66.29,18.67,50.21,10.27,24.46,58.13,87.9,6.72,0.65,0.75,0.48,3.39,0.76,3.42,11.65,19.4,64.77,1.18,4.84,11.25,23.14,59.58,43.95,35.29,12.0,8.07,13.82,20.71,27.49,37.76,24.1,27.97,23.83,24.1,0.71,0.64,1.02,11.03,3.78,11.88,23.06,14.52,7.44,3.75,2.99,1.76,9.23,19.16,2.79,9.04,31.28,8.19,44.39,66.21,18.96,49.52,10.8,26.09,58.77,87.35,7.18,0.73,0.82,0.43,3.41,0.82,3.99,11.12,18.76,64.6,1.36,4.69,11.02,23.31,59.58,45.5,34.48,11.49,7.9,14.88,21.37,27.05,36.46,25.03,28.99,22.49,23.49
1378,Chile,CHL,overall,18-34,2020-11-02,1648.0,4275646.66,0.91,0.91,1.34,14.24,4.44,17.94,33.84,16.43,13.08,5.06,8.35,2.74,15.03,31.34,4.38,9.65,28.74,24.36,30.09,60.44,16.44,52.81,10.47,29.44,57.32,88.47,6.07,0.73,0.42,0.3,3.94,1.71,7.65,16.81,26.08,47.75,3.22,11.11,20.22,27.14,38.31,45.33,36.77,10.56,6.67,13.83,20.45,30.89,34.65,28.22,30.4,24.45,16.93,0.92,0.87,1.28,15.31,4.7,18.38,34.15,17.04,13.13,5.57,8.24,2.58,15.46,30.31,4.88,9.69,29.33,6.49,31.83,60.43,18.01,52.0,11.46,31.36,58.66,88.01,6.79,0.95,0.55,0.23,3.44,1.91,7.98,16.37,25.65,47.21,3.72,10.82,19.23,27.5,38.68,47.29,34.77,10.85,6.57,14.32,21.21,30.47,33.7,27.92,30.58,24.36,17.13
1379,Chile,CHL,overall,35-54,2020-11-02,1859.0,4453672.65,0.92,0.87,1.14,10.49,2.6,12.4,21.51,14.79,8.23,3.95,4.01,2.22,8.82,22.51,3.52,9.42,31.8,28.07,41.73,66.11,15.72,52.66,9.25,24.77,57.75,89.35,4.84,0.38,0.54,0.48,4.36,0.76,4.4,12.18,21.97,60.69,0.97,5.43,13.13,24.91,55.57,44.43,34.48,12.37,7.91,15.55,23.56,26.2,34.48,26.59,31.59,23.14,18.68,0.84,0.76,1.04,9.82,2.55,11.98,21.05,14.49,7.58,3.72,4.24,2.13,7.9,21.34,3.28,8.19,32.25,8.77,43.22,65.6,16.07,52.44,10.2,26.49,57.89,89.0,4.84,0.39,0.67,0.51,4.49,0.85,4.17,10.93,20.71,62.33,1.01,5.34,12.11,24.42,57.11,44.96,34.49,11.78,8.01,16.69,24.52,25.13,33.51,27.53,32.64,21.23,18.57
1380,Chile,CHL,overall,55+,2020-11-02,1039.0,3033115.73,0.19,0.19,0.39,8.14,2.71,8.83,14.43,14.68,5.23,2.9,1.84,0.78,6.96,15.58,3.01,7.07,25.86,27.15,26.26,65.38,12.76,40.34,6.62,21.84,49.28,86.33,5.58,0.48,0.77,0.0,6.83,0.39,3.4,11.67,19.63,64.9,0.87,3.76,11.18,21.19,63.01,42.54,33.11,12.8,10.68,9.91,20.79,25.41,43.6,19.07,27.85,22.63,30.44,0.16,0.12,0.32,7.13,2.57,7.95,15.03,14.11,4.78,2.3,1.53,0.44,6.86,14.98,2.59,6.62,24.81,6.25,26.54,64.76,13.21,41.31,6.47,22.24,50.76,86.14,5.96,0.47,0.61,0.0,6.81,0.61,3.57,11.05,18.48,65.51,0.88,3.85,10.91,20.69,63.62,43.19,32.3,12.52,11.3,11.43,20.24,23.3,44.8,20.13,28.47,20.38,30.95
1381,Chile,CHL,overall,overall,2020-11-02,5504.0,14503570.86,0.92,0.9,1.28,11.49,3.55,13.37,23.64,15.38,9.39,4.24,5.27,2.3,10.7,23.77,3.95,9.25,29.93,27.11,33.77,63.85,15.4,49.04,9.18,26.19,55.17,80.43,5.05,0.55,0.56,0.27,4.6,0.98,5.42,13.59,22.67,57.34,1.71,6.88,15.38,24.48,51.56,39.57,30.89,10.48,7.63,12.45,19.1,24.76,32.85,25.46,30.35,23.42,20.77,0.95,0.89,1.28,10.95,3.58,12.9,23.09,15.07,8.71,4.16,5.18,2.22,10.23,22.18,3.84,8.79,29.35,7.62,32.49,60.16,15.28,45.35,9.22,25.95,51.67,79.3,5.34,0.62,0.58,0.25,4.57,0.97,4.78,11.42,19.36,52.26,1.63,5.87,12.97,21.65,47.45,39.9,29.81,10.21,7.86,13.16,19.15,23.69,32.3,22.78,27.11,19.72,18.93
