,country_agg,GID_0,gender,age_bucket,date,rolling_total_responses,weight_sums,smoothed_pct_cli,smoothed_pct_ili,smoothed_pct_fever,smoothed_pct_cough,smoothed_pct_difficulty_breathing,smoothed_pct_fatigue,smoothed_pct_stuffy_runny_nose,smoothed_pct_aches_muscle_pain,smoothed_pct_sore_throat,smoothed_pct_chest_pain,smoothed_pct_nausea,smoothed_pct_anosmia_ageusia,smoothed_pct_eye_pain,smoothed_pct_headache,smoothed_pct_chills,smoothed_pct_cmnty_sick,smoothed_pct_ever_tested,smoothed_pct_tested_recently,smoothed_pct_worked_outside_home,smoothed_pct_grocery_outside_home,smoothed_pct_ate_outside_home,smoothed_pct_spent_time_with_non_hh,smoothed_pct_attended_public_event,smoothed_pct_used_public_transit,smoothed_pct_direct_contact_with_non_hh,smoothed_pct_wear_mask_all_time,smoothed_pct_wear_mask_most_time,smoothed_pct_wear_mask_half_time,smoothed_pct_wear_mask_some_time,smoothed_pct_wear_mask_none_time,smoothed_pct_no_public,smoothed_pct_feel_nervous_all_time,smoothed_pct_feel_nervous_most_time,smoothed_pct_feel_nervous_some_time,smoothed_pct_feel_nervous_little_time,smoothed_pct_feel_nervous_none_time,smoothed_pct_feel_depressed_all_time,smoothed_pct_feel_depressed_most_time,smoothed_pct_feel_depressed_some_time,smoothed_pct_feel_depressed_little_time,smoothed_pct_feel_depressed_none_time,smoothed_pct_worried_ill_covid19_very,smoothed_pct_worried_ill_covid19_somewhat,smoothed_pct_worried_ill_covid19_notTooWorried,smoothed_pct_worried_ill_covid19_notWorried,smoothed_pct_enough_toEat_very_worried,smoothed_pct_enough_toEat_somewhat_worried,smoothed_pct_enough_toEat_notToo_worried,smoothed_pct_enough_toEat_not_worried,smoothed_pct_finances_very_worried,smoothed_pct_finances_somewhat_worried,smoothed_pct_finances_notToo_worried,smoothed_pct_finances_not_worried,smoothed_pct_cli_weighted,smoothed_pct_ili_weighted,smoothed_pct_fever_weighted,smoothed_pct_cough_weighted,smoothed_pct_difficulty_breathing_weighted,smoothed_pct_fatigue_weighted,smoothed_pct_stuffy_runny_nose_weighted,smoothed_pct_aches_muscle_pain_weighted,smoothed_pct_sore_throat_weighted,smoothed_pct_chest_pain_weighted,smoothed_pct_nausea_weighted,smoothed_pct_anosmia_ageusia_weighted,smoothed_pct_eye_pain_weighted,smoothed_pct_headache_weighted,smoothed_pct_chills_weighted,smoothed_pct_cmnty_sick_weighted,smoothed_pct_ever_tested_weighted,smoothed_pct_tested_recently_weighted,smoothed_pct_worked_outside_home_weighted,smoothed_pct_grocery_outside_home_weighted,smoothed_pct_ate_outside_home_weighted,smoothed_pct_spent_time_with_non_hh_weighted,smoothed_pct_attended_public_event_weighted,smoothed_pct_used_public_transit_weighted,smoothed_pct_direct_contact_with_non_hh_weighted,smoothed_pct_wear_mask_all_time_weighted,smoothed_pct_wear_mask_most_time_weighted,smoothed_pct_wear_mask_half_time_weighted,smoothed_pct_wear_mask_some_time_weighted,smoothed_pct_wear_mask_none_time_weighted,smoothed_pct_no_public_weighted,smoothed_pct_feel_nervous_all_time_weighted,smoothed_pct_feel_nervous_most_time_weighted,smoothed_pct_feel_nervous_some_time_weighted,smoothed_pct_feel_nervous_little_time_weighted,smoothed_pct_feel_nervous_none_time_weighted,smoothed_pct_feel_depressed_all_time_weighted,smoothed_pct_feel_depressed_most_time_weighted,smoothed_pct_feel_depressed_some_time_weighted,smoothed_pct_feel_depressed_little_time_weighted,smoothed_pct_feel_depressed_none_time_weighted,smoothed_pct_worried_ill_covid19_very_weighted,smoothed_pct_worried_ill_covid19_somewhat_weighted,smoothed_pct_worried_ill_covid19_notTooWorried_weighted,smoothed_pct_worried_ill_covid19_notWorried_weighted,smoothed_pct_enough_toEat_very_worried_weighted,smoothed_pct_enough_toEat_somewhat_worried_weighted,smoothed_pct_enough_toEat_notToo_worried_weighted,smoothed_pct_enough_toEat_not_worried_weighted,smoothed_pct_finances_very_worried_weighted,smoothed_pct_finances_somewhat_worried_weighted,smoothed_pct_finances_notToo_worried_weighted,smoothed_pct_finances_not_worried_weighted
10,Albania,ALB,male,18-34,2020-11-01,74.0,338989.07,5.57,7.09,8.45,19.92,11.46,32.23,27.92,23.4,8.43,9.94,7.07,11.14,9.67,18.59,8.48,48.65,20.27,,42.17,75.34,71.92,56.0,22.07,29.83,58.11,51.35,24.32,10.81,2.7,9.46,1.35,5.41,4.26,13.99,20.92,55.42,6.86,1.35,16.22,23.39,52.18,36.49,36.49,16.22,9.46,20.27,20.27,22.97,36.49,36.49,21.62,24.32,17.57,6.08,7.78,8.89,17.98,11.47,29.67,26.23,24.23,10.03,12.95,9.14,11.38,6.09,20.35,8.48,43.96,15.78,9.84,35.24,69.24,63.04,51.79,20.09,31.13,54.65,53.97,21.79,9.85,2.49,8.61,3.28,7.02,6.2,12.25,17.84,54.46,5.8,2.04,16.57,18.45,53.93,36.49,32.24,15.66,12.42,16.2,16.58,24.67,42.55,31.26,24.21,22.63,21.9
11,Albania,ALB,male,35-54,2020-11-01,90.0,255273.84,6.67,4.44,10.07,8.89,0.0,13.4,16.81,18.89,13.4,4.44,3.33,3.33,6.74,21.18,8.96,50.0,15.62,30.37,45.56,71.11,64.44,52.22,16.67,16.67,50.0,35.56,34.44,13.33,5.56,7.78,3.33,0.0,2.22,12.5,26.94,58.33,1.11,2.22,10.0,24.44,62.22,33.33,38.89,14.44,13.33,10.0,15.56,23.33,51.11,22.22,32.22,23.33,22.22,8.47,6.41,11.94,11.41,0.0,13.39,14.69,19.31,11.04,4.68,2.38,4.54,7.28,19.72,10.1,48.32,14.09,6.74,48.19,71.21,61.14,47.1,15.76,16.58,46.85,39.37,30.32,12.38,7.49,7.05,3.39,0.0,1.53,10.83,27.6,59.19,1.44,1.53,8.42,22.21,66.4,31.21,37.34,18.44,13.01,9.51,17.9,21.6,50.98,21.45,32.88,24.28,21.39
12,Albania,ALB,male,overall,2020-11-01,198.0,846879.52,6.18,5.69,9.86,15.0,4.66,23.71,22.16,20.97,10.82,7.25,4.61,6.68,9.87,19.65,8.31,46.97,19.28,39.96,42.91,71.58,68.24,53.62,18.3,21.75,53.54,45.96,29.29,10.1,4.04,8.08,2.53,3.09,2.59,11.91,26.7,55.71,3.56,1.53,12.65,23.91,58.35,35.35,36.36,16.67,10.1,13.13,15.66,24.75,45.96,25.25,28.79,23.74,22.22,8.1,7.74,11.97,15.36,4.32,22.31,20.82,20.25,10.35,8.08,4.66,8.41,10.42,17.56,7.97,42.31,18.92,9.2,37.97,68.34,64.45,46.75,16.1,21.36,46.86,50.59,25.27,8.24,4.62,8.08,3.2,3.36,2.63,9.36,25.02,58.23,2.67,1.31,11.06,19.9,63.91,34.13,31.73,19.8,11.54,10.12,13.76,24.42,51.24,20.75,28.5,23.52,27.23
13,Albania,ALB,overall,18-34,2020-11-01,153.0,493656.8,4.76,5.46,6.84,17.93,8.96,30.49,25.21,21.81,14.22,10.27,8.27,11.55,12.29,28.51,8.25,48.37,17.65,55.69,35.51,76.26,65.05,56.35,18.01,23.72,54.9,54.25,25.49,8.5,3.92,5.88,1.31,5.28,8.06,12.03,24.68,49.95,5.28,5.93,16.37,22.33,50.09,43.79,35.95,11.76,7.84,19.61,18.3,28.1,33.99,40.83,27.58,21.07,10.52,5.42,6.13,7.35,14.81,8.91,26.24,21.52,19.87,12.97,10.95,8.0,10.47,11.42,26.59,7.66,44.16,13.23,7.61,31.07,74.28,60.75,52.67,15.36,25.03,51.6,53.46,26.12,7.13,5.2,5.46,2.1,5.86,6.76,14.73,25.22,45.85,4.86,4.97,18.49,20.53,49.63,42.92,34.76,10.78,10.03,16.91,18.82,29.13,35.14,37.62,28.61,20.4,12.82
14,Albania,ALB,overall,35-54,2020-11-01,156.0,810534.62,7.83,5.88,10.45,14.35,2.68,16.33,18.99,20.08,14.95,7.24,3.94,5.25,7.2,23.93,10.53,52.91,15.0,41.45,43.59,74.2,60.74,55.13,18.59,16.67,50.64,51.92,25.0,9.62,5.13,5.77,2.56,1.92,4.49,16.89,25.1,51.6,1.92,5.77,12.82,25.64,53.85,42.95,32.69,12.18,11.54,14.74,15.38,22.44,47.44,27.56,28.85,21.79,21.79,7.17,4.92,9.71,14.91,1.71,15.96,16.04,17.9,12.66,6.0,2.24,4.67,6.07,22.69,7.97,48.24,14.88,8.86,43.09,75.8,55.89,48.62,18.59,13.71,46.5,55.75,22.57,9.74,5.07,4.67,2.2,0.99,5.67,13.72,29.16,49.98,1.4,6.67,9.16,26.88,55.89,42.61,34.63,12.89,9.6,16.45,15.88,21.6,46.07,28.59,30.33,19.54,21.54
15,Albania,ALB,overall,55+,2020-11-01,63.0,553144.86,8.08,8.08,11.54,21.0,7.94,27.47,24.51,20.88,11.11,12.7,9.52,9.52,22.34,21.0,9.52,38.1,24.18,,36.11,64.65,61.33,51.98,16.14,18.14,47.62,50.79,19.05,0.0,6.35,12.7,9.52,6.67,1.59,12.7,32.06,46.98,6.35,1.59,12.7,23.81,55.56,39.68,30.16,20.63,6.35,9.52,14.29,20.63,53.97,12.7,33.33,17.46,36.51,9.75,9.75,11.93,20.39,9.56,25.42,21.84,20.72,11.92,13.0,12.93,12.5,24.38,21.71,12.92,38.68,28.72,13.91,35.02,66.34,64.25,47.13,16.9,17.02,42.01,46.89,18.79,0.0,9.62,8.13,15.26,4.0,0.58,17.12,31.29,45.98,3.8,3.03,12.9,23.74,56.54,35.19,31.31,23.94,4.84,9.05,20.03,15.69,53.9,14.04,33.72,21.51,30.74
16,Albania,ALB,overall,overall,2020-11-01,495.0,2386209.82,7.42,7.02,9.77,16.11,7.0,23.45,21.39,20.72,14.28,10.38,7.44,8.82,11.97,25.36,10.18,47.91,20.2,52.02,39.59,72.69,61.48,53.73,18.29,22.24,50.59,44.44,21.01,6.26,4.24,5.66,3.23,3.72,5.68,14.68,25.26,50.66,3.69,5.17,15.24,24.07,51.82,33.74,27.47,10.91,7.47,12.32,13.13,20.2,34.75,30.41,28.19,21.13,20.27,8.95,8.45,10.9,18.06,8.39,22.95,19.98,21.32,15.16,13.08,8.99,10.49,14.42,24.79,10.97,46.52,21.77,12.53,32.69,61.21,50.4,41.57,14.58,19.39,40.42,42.89,17.78,5.41,5.69,4.28,4.8,2.21,3.97,12.22,21.45,38.45,1.98,3.79,12.02,19.17,41.37,29.81,26.17,12.28,6.68,10.57,13.68,18.01,33.66,20.74,22.94,15.06,17.2
17,Algeria,DZA,female,18-34,2020-11-01,144.0,3598358.05,6.35,7.05,9.13,17.23,12.12,47.22,34.0,28.28,22.94,12.69,10.94,15.22,18.42,40.31,17.85,39.58,21.67,,34.91,53.78,26.97,49.17,15.92,32.71,45.14,43.06,25.0,10.42,6.25,4.86,10.42,2.8,11.94,31.05,30.3,23.91,6.25,19.65,28.04,27.95,18.11,47.92,25.0,13.89,10.42,7.64,14.58,24.31,50.69,20.95,23.78,25.87,29.4,6.32,6.07,7.84,16.02,13.11,41.06,31.7,27.24,19.88,10.96,7.7,12.68,12.69,35.32,11.77,38.49,19.39,7.35,28.74,53.0,26.12,48.22,17.27,30.9,47.72,36.44,25.3,8.85,7.47,5.97,15.97,3.1,8.05,31.95,35.82,20.87,5.78,19.71,26.63,27.56,20.27,50.28,22.04,14.27,12.21,6.43,17.14,22.22,52.26,19.57,26.2,24.83,29.33
18,Algeria,DZA,female,35-54,2020-11-01,91.0,2912531.28,4.54,4.54,4.54,22.68,9.23,42.79,28.32,21.15,17.14,12.74,14.28,13.63,10.33,36.32,13.47,31.87,22.22,37.0,41.38,62.64,26.43,43.39,12.91,22.51,47.25,46.15,25.27,8.79,7.69,3.3,8.79,5.49,14.29,30.77,27.47,21.98,5.49,12.09,30.77,17.58,34.07,43.96,31.87,14.29,8.79,10.99,9.89,19.78,59.34,18.68,19.78,20.88,40.66,2.15,2.15,2.15,21.6,10.34,44.63,35.14,26.03,17.76,14.08,17.06,13.32,10.81,37.13,15.0,31.1,22.04,5.09,35.51,61.84,21.99,38.08,10.65,24.48,39.11,45.25,27.03,8.15,6.47,2.58,10.52,4.09,14.56,28.46,27.89,25.0,5.55,9.44,31.23,17.45,36.34,39.44,33.36,14.41,11.52,6.43,10.83,22.39,60.35,12.92,27.44,19.83,39.8
19,Algeria,DZA,female,overall,2020-11-01,253.0,6688224.12,6.06,6.44,7.64,19.48,10.56,44.97,31.37,26.4,20.28,12.6,11.49,13.91,16.12,39.04,16.22,36.36,21.13,43.59,36.41,58.31,27.83,48.6,15.7,28.42,46.25,44.66,25.69,9.49,7.11,3.95,9.09,3.97,13.15,29.91,29.51,23.46,5.96,16.68,29.39,23.03,24.93,45.85,27.27,14.62,10.28,8.3,12.65,22.53,54.94,19.02,22.63,23.42,34.92,5.65,5.54,6.52,20.24,12.17,44.22,34.6,30.25,20.1,12.71,12.47,12.94,14.78,38.92,14.02,36.44,20.22,6.33,30.71,57.14,24.67,46.29,15.91,28.35,43.75,41.96,27.02,8.43,6.45,4.02,12.12,4.35,11.01,29.12,33.37,22.02,5.16,15.86,29.27,22.51,27.17,46.42,27.19,14.02,11.27,5.8,13.99,22.62,56.53,15.44,27.67,22.14,34.72
